AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
7058,3694,-3184,-4145,-1788,5156,6270,-718,-3086,5837,-2095,-6562,-1792,-3020,5534,172,-795,903,5.07,430,2182,76.9
5434,-4028,-3902,-4392,2566,5867,5706,5074,-3686,6052,-418,-4456,-2710,-3488,6214,176,-500,744,5.08,376,1913,77
3468,-5406,-4318,-4760,2006,4417,6888,8176,-3582,5523,557,-2949,-2156,-3420,7354,131,-227,658,5.08,420,2137,77
3764,-7618,-4110,-4337,1902,4552,5856,10750,-3838,4073,-770,-2751,-1888,-2924,7226,82,-175,514,5.07,430,2182,77
4076,-10290,-3960,-3732,3167,2591,6874,11446,-2580,1300,1003,-1114,-1672,-2096,7204,90,-114,258,5.08,381,1938,77.1
3638,-11136,-3902,-3256,2350,1521,7446,11706,-2392,-226,1664,425,-1800,-1914,6758,104,-85,181,5.07,425,2157,77.1
3106,-11878,-4000,-2063,1432,481,7330,11160,-1818,-1757,1732,1721,-1420,-2314,6544,123,-55,222,5.07,425,2157,77.1
5814,-11162,-3902,-380,4667,-2621,5616,9304,-588,-4676,-405,1957,-1136,-2494,6132,66,-75,154,5.08,376,1913,77.2
4112,-10364,-3076,1027,3094,-2275,6588,6430,-862,-5083,-647,3011,-1288,-2426,5594,61,24,-8,5.07,445,2256,77.2
4214,-7532,-2102,2753,-336,-2974,5934,3968,-1850,-5904,33,4645,-1510,-2436,5734,6,177,-243,5.08,376,1913,77.3
4028,-6398,-2012,3475,-1181,-3982,5434,1532,-1540,-6182,498,5800,-1530,-2374,5358,-13,359,-360,5.08,425,2161,77.3
3606,-4880,-2074,4029,-1704,-5487,3928,-1636,-2082,-6212,669,5931,-1660,-2150,5398,-56,507,-478,5.07,420,2132,77.3
3208,-2936,-2352,4946,-1851,-7191,2316,-6504,-2768,-5859,331,5367,-1910,-2398,5222,-139,902,-663,5.08,371,1888,77.4
2596,-202,-1830,5317,-774,-7403,1378,-9656,-4076,-5682,339,5005,-1480,-2520,5486,-195,1035,-834,5.07,455,2306,77.4
2104,3152,-1958,5635,441,-7073,1084,-12526,-4914,-5271,-408,4212,-1480,-2462,5712,-253,1109,-923,5.07,430,2182,77.4
1750,12368,190,4912,201,-6400,1346,-17664,-7074,-4733,-1751,2648,-886,-2136,6804,-325,1089,-1085,5.08,376,1913,77.5
3052,18524,1168,3922,959,-6090,222,-22590,-8362,-2518,210,3473,-822,-1542,7658,-327,934,-1210,5.07,435,2207,77.5
4208,24078,1746,2981,695,-4229,5092,-18656,-7916,-6799,8915,-9202,-904,-884,9412,-339,613,-1335,5.07,425,2157,77.5
6738,30382,3198,655,-1424,-1173,1060,-25508,-8814,4252,-2695,5665,-1144,540,11944,-172,-203,-1152,5.08,391,1988,77.6
9058,29712,3664,-241,-1423,905,3832,-20538,-7442,3568,-3352,572,-1792,772,11808,-107,-526,-890,5.06,440,2227,77.6
9688,27490,4032,-736,-967,2933,3174,-20834,-5994,3780,-2990,-553,-2232,980,10648,-53,-813,-395,5.07,425,2157,77.6
8790,20836,2760,-1417,-2142,5371,1726,-14556,-7002,3816,-973,-1908,-2480,328,8614,173,-1138,367,5.08,376,1913,77.7
8404,16992,1848,-1802,-2144,5951,3768,-11498,-6234,2352,-196,-5101,-1750,-544,7404,187,-1189,730,5.07,425,2157,77.7
6416,13418,1182,-2728,-3975,6767,3402,-10512,-5046,2104,-539,-5970,-2256,-636,5824,169,-1024,1057,5.06,440,2227,77.8
7140,7986,1202,-3125,-870,4647,3140,-6228,-2872,3351,1250,-5416,-1890,-2012,5616,206,-719,1358,5.08,376,1913,77.8
334,686,-450,-1526,-3742,13426,6176,-3820,-3698,4649,-3044,-6319,-1600,-3074,6028,217,-714,1262,5.07,425,2157,77.8
8162,1868,-2690,-4205,-4985,6288,5548,542,-4822,4500,-2042,-7075,-1744,-3366,6028,256,-416,1044,5.07,435,2207,77.9
6416,-4594,-4158,-5131,1470,3055,6784,6502,-3862,5672,-275,-4359,-1908,-4104,6240,183,-129,694,5.08,371,1888,77.9
4562,-7050,-4516,-4438,2607,4348,7812,8934,-3834,5247,-1213,-3302,-2370,-3440,6964,98,136,666,5.07,430,2182,77.9
6360,-10904,-5594,-4416,3017,2197,8036,10640,-4022,2919,517,-1560,-1300,-2592,7436,14,251,446,5.08,376,1913,78
5348,-12036,-5292,-3630,4450,1114,8376,10880,-3890,1807,1368,19,-1224,-2140,7256,12,126,274,5.08,415,2112,78
3712,-12424,-5418,-2659,3689,98,8714,11224,-2532,518,2466,1113,-1316,-1876,7208,74,119,215,5.07,425,2157,78
4716,-11458,-4842,-757,802,-1284,6634,9942,-892,-2190,2002,2203,-1694,-2064,6312,100,192,164,5.08,371,1888,78.1
5596,-10242,-4144,46,5152,-3541,6404,8244,-648,-3653,831,2198,-1720,-2294,6012,102,230,153,5.07,430,2182,78.1
2982,-8104,-3604,2563,2754,-3303,5412,4242,-1048,-5296,214,3336,-1508,-2388,5674,96,331,-61,5.08,381,1938,78.2
3114,-6076,-2992,3925,1118,-3280,4982,1706,-978,-5413,646,4347,-1768,-2322,5196,80,603,-76,5.08,425,2161,78.2
2936,-3940,-2856,4636,140,-4137,3940,-628,-422,-5524,1089,5240,-1626,-2322,5486,48,732,-246,5.07,425,2157,78.2
2590,-620,-2278,5446,-759,-5438,2216,-4194,-1236,-5057,701,5410,-1602,-2258,5418,-57,998,-429,5.08,381,1938,78.3
2512,1648,-2010,5414,-1225,-6287,1340,-6154,-1698,-5115,472,5062,-1478,-2272,5716,-117,1096,-564,5.07,430,2182,78.3
3010,4344,-1814,5563,-632,-6386,1168,-8726,-3528,-5362,465,4643,-1596,-2308,5822,-158,1203,-611,5.06,455,2302,78.3
2844,10612,-102,5492,656,-5192,858,-14548,-5718,-4930,-910,2824,-1172,-2316,6446,-190,1206,-724,5.08,376,1913,78.4
3358,15978,1026,4908,425,-4221,1286,-17608,-8242,-4401,-1222,1407,-806,-1906,7446,-176,1072,-845,5.07,435,2207,78.4
4678,20748,2564,3604,1091,-3800,-1566,-21622,-7450,-3275,-836,2908,-732,-1168,8986,-116,765,-986,5.06,440,2227,78.4
5796,25886,4056,1189,-726,-1302,-5134,-26540,-8248,-307,3483,948,-1256,-108,11492,82,194,-1062,5.08,381,1938,78.5
6854,26326,4130,-281,-2131,259,1182,-25360,-8124,4910,-3152,5755,-1514,482,11374,121,-276,-824,5.06,435,2203,78.5
7780,23104,4686,-819,-2118,2562,5666,-19256,-6194,3252,-4427,-944,-1916,438,10288,214,-621,-316,5.08,376,1913,78.6
8156,20608,4148,-947,-2655,3769,3024,-17250,-5818,3811,-2180,-2205,-1686,200,9920,251,-915,119,5.07,430,2182,78.6
8970,17826,2544,-1272,-2874,4683,3216,-14114,-5846,3788,-350,-2644,-1588,68,7794,273,-1148,398,5.07,420,2132,78.6
7658,13074,1158,-2163,-3493,5833,2968,-10476,-5182,3124,-586,-5342,-2152,-614,6032,217,-1153,920,5.08,376,1913,78.7
5086,9082,858,-2160,-5828,7418,3784,-8736,-4562,3725,27,-6704,-2312,-1346,5764,194,-961,1132,5.07,455,2306,78.7
19304,8496,-4842,-2849,667,5836,2138,-6408,-3644,4298,255,-5986,-1960,-2224,6144,207,-865,1154,5.07,425,2157,78.7
6870,4762,-2788,-4117,-2620,4428,5634,-1384,-4570,5092,-1123,-7125,-1646,-3656,6672,222,-874,788,5.08,376,1913,78.8
5412,1628,-2750,-4396,689,3825,5970,456,-4180,5759,144,-5982,-2994,-3134,6782,254,-609,670,5.07,435,2207,78.8
6790,-74,-3618,-5434,1509,3187,5318,2942,-4156,5893,255,-5372,-2618,-3758,6606,205,-373,476,5.07,430,2182,78.8
4406,-4224,-4388,-5112,1223,4635,7566,6730,-3316,4869,280,-2975,-2076,-2416,7226,91,-56,474,5.08,381,1938,78.9
6982,-6492,-6070,-4830,4030,2984,7332,9898,-3550,4058,334,-2729,-1932,-1850,7250,74,-8,417,5.07,420,2132,78.9
3642,-9562,-5902,-3319,3370,2990,7806,10552,-2318,2151,1407,-638,-1750,-1800,6804,99,57,383,5.08,386,1963,79
4052,-10910,-5808,-2484,727,2074,7584,11758,-2500,711,2061,233,-1358,-1884,6574,92,59,335,5.08,430,2186,79
6294,-10524,-5638,-1655,3244,-191,7178,11482,-1558,-826,1334,1289,-1300,-1752,6538,79,48,326,5.06,440,2227,79
4504,-10776,-4604,569,3361,-1424,6272,8948,-1012,-3727,-69,2099,-1020,-2154,5624,21,-66,76,5.08,376,1913,79.1
4656,-9298,-3954,1754,2428,-1242,6338,6386,-1234,-4484,-11,3653,-1300,-2114,5220,-38,97,19,5.07,430,2182,79.1
3758,-6964,-2610,3223,1489,-2637,5250,2712,-2784,-5012,909,5342,-1434,-2268,5288,-129,271,-247,5.08,376,1913,79.1
3340,-5318,-2456,3748,395,-3719,4878,1090,-2820,-5252,1355,5984,-1452,-2254,5694,-152,370,-392,5.08,420,2137,79.2
2808,-3756,-2052,4243,-894,-4917,3770,-1020,-2434,-5567,1394,5821,-1720,-2348,5408,-159,579,-592,5.07,420,2132,79.2
3432,-8,-912,5030,-1235,-6302,1992,-5714,-1942,-5246,937,5910,-1448,-2372,5904,-202,828,-908,5.08,371,1888,79.2
3516,2744,-178,5384,-17,-6205,1316,-8012,-2606,-4934,316,5730,-1132,-2338,6248,-265,814,-1027,5.07,420,2132,79.3
3526,5594,726,5585,435,-5978,1304,-10658,-3226,-4805,-697,5392,-1024,-2236,7008,-290,791,-1045,5.07,425,2157,79.3
4614,13116,2588,4366,408,-5408,1380,-15636,-5504,-4354,-563,3803,-936,-1622,8620,-289,558,-1142,5.08,376,1913,79.3
5630,16938,3452,3232,647,-4999,2744,-17720,-6458,-3969,-664,2568,-928,-804,10196,-231,369,-1151,5.07,430,2182,79.4
5934,20340,3520,1868,127,-3945,-3388,-21834,-5034,-1377,-1898,8358,-1364,-270,11174,-136,125,-1047,5.07,425,2157,79.4
6856,23106,3300,173,-570,-1248,-3962,-26682,-7618,-1430,3379,3454,-1658,900,11114,146,-343,-607,5.08,371,1888,79.4
7376,23558,3330,21,-586,782,5356,-22314,-7162,1769,-1442,2601,-2226,666,9602,186,-631,-151,5.07,425,2157,79.5
8058,21566,4070,101,-1759,3989,5020,-20294,-5186,2735,-3577,-1024,-1584,326,7314,100,-968,502,5.08,371,1888,79.5
8254,18922,3592,-482,-2240,5060,5168,-17038,-5426,3688,-416,-1436,-1842,-488,6352,102,-1102,788,5.07,425,2157,79.6
7592,16088,2866,-975,-2572,5650,3690,-14112,-5148,3741,573,-3058,-1882,-1402,5220,53,-1004,1048,5.06,445,2252,79.6
-264,9298,2042,-1907,-4710,8838,2406,-9686,-3948,3031,671,-4920,-2378,-2192,6252,145,-707,970,5.08,376,1913,79.6
9608,10994,2492,-4174,-709,2360,4338,-6708,-4286,2326,-804,-6999,-1912,-2516,6586,203,-564,782,5.08,420,2137,79.7
